001-002 Abbie
003-004 Abighild
005-006 Abigund(a)
007-008 Ada
009-010 Adel(heid)
011-012 Adelind
013-014 Adelle
015-016 Adelyn
017-018 Agathe
019-020 Agnes
021-022 Agnet(h)a
023-024 Agnet(h)e
025-026 Agnetta
027-028 Agnetz
029-030 Agnise
031-032 Aldreda
033-034 Aleid
035-036 Alette
037-038 Alexa
039-040 Alfreda
041-042 Alfrida
043-044 Alice
045-046 Alicia
047-048 Alke
049-050 Allane
051-052 Almala
053-054 Althea
055-056 Alusch
057-058 Amali(nd)e
059-060 Amalyn
061-062 Andrea
063-064 Anhilda
065-066 Anika
067-068 Anja
069-070 Anna
071-072 Annabel(la)
073-074 Anne
075-076 Anthea
077-078 Anya10
079-080 Apollonia
081-082 Arabel(la)
083-084 Astrid
085-086 Aver
087-088 Aythe
089-090 Barbara
091-092 Beat(k)e
093-094 Beatrix
095-096 Bechilda
097-098 Bella(ne)
099-100 Ben(e)dicta
101-102 Benusch
103-104 Berchte
105-106 Berlinda
107-108 Berlyn
109-110 Bert(h)a
111-112 Berthilda
113-114 Bertradis
115-116 Bertrod
117-118 Bess
119-120 Beth
121-122 Bianka
123-124 Birgit
125-126 Brigitte
127-128 Brita
129-130 Britt
131-132 Broncea
133-134 Brunhild(a)
135-136 Brunhilde
137-138 Camilla
139-140 Carina
141-142 Carla
143-144 Carlinda
145-146 Carlott(a)
147-148 Carmilla
149-150 Casarea
151-152 Cecilia
153-154 Charlot(te)
155-156 Christine
157-158 Cilicia
159-160 Cilie
161-162 Clare
163-164 Claudia
165-166 Clora
167-168 Clothilda
169-170 Connie
171-172 Constance
173-174 Constanza
175-176 Cordelia
177-178 Cunne(ke)
179-180 Dagmar
181-182 Dem(on)a
183-184 Demut
185-186 Desdemona
187-188 Dora
189-190 Dorothie
191-192 Dorthilda
193-194 Drachena
195-196 Drachilda
197-198 Edhilda
199-200 Edith
201-202 Edyth
203-204 Edythe
205-206 Eleanor
207-208 Elena
209-210 Elene
211-212 Elfrida
213-214 Elinor
215-216 Elisa(beth)
217-218 Elise
219-220 Elisinda
221-222 Elke
223-224 Ella
225-226 Ellene
227-228 Ellinde
229-230 Eloise
231-232 Elsa(beth)
233-234 Elsbeth
235-236 Else
237-238 Elsina
239-240 Elyn
241-242 Elze(beth)
243-244 Emagunda
245-246 Emelia
247-248 Emerlinde
249-250 Emerlyn
251-252 Emilie
253-254 Emmalyn
255-256 Emmanuel(le)
257-258 Emme
259-260 Ene(i)de
261-262 Engel
263-264 Engeltrud
265-266 Ennelein
267-268 Erica
269-270 Erika
271-272 Ermegart
273-274 Ermel
275-276 Ermina
277-278 Erminlind
279-280 Ermintrude
281-282 Esmar(alda)
283-284 Esmer(elda)
285-286 Esmeralda
287-288 Esmerelde
289-290 Estelle
291-292 Esther
293-294 Et(h)elka
295-296 Etheldreda
297-298 Ethelind
299-300 Ethelreda
301-302 Eufemia
303-304 Eva
305-306 Fay
307-308 Feme(ke)
309-310 Franziska
311-312 Freya
313-314 Fri(e)d(a)
315-316 Friedhilda
317-318 Friedrica
319-320 Friedrun
321-322 Fronika
323-324 Gabby
325-326 Gabi
327-328 Gabriel(l)e
329-330 Galina
331-332 Gele
333-334 Gena
335-336 Genevieve
337-338 Genovega
339-340 Gerberga
341-342 Gerda
343-344 Gerdrut
345-346 Gerke
347-348 Gerlinde
349-350 Gertie
351-352 Gertrud(e)
353-354 Gerusch(a)
355-356 Gilda
357-358 Gina
359-360 Girdrud
361-362 Girlin
363-364 Gitta
365-366 Greta
367-368 Gretchen
369-370 Gretel
371-372 Grite
373-374 Grizelda
375-376 Grunhilda
377-378 Gudradis
379-380 Gudrun
381-382 Gudryn
383-384 Gutel
385-386 Hanna
387-388 Hedwig
389-390 Heidi
391-392 Heidrun
393-394 Heile
395-396 Heilwig
397-398 Helena
399-400 Helene
401-402 Helga
403-404 Helusch
405-406 Herburg
407-408 Herlinde
409-410 Herwig
411-412 Heske
413-414 Hez(k)e
415-416 Hilde(gard)
417-418 Hildegart
419-420 Hildegund
421-422 Hille
423-424 Hilusch
425-426 Honoria
427-428 Hunni
429-430 Ida
431-432 Ilg(a)
433-434 Ilsa
435-436 Ilse
437-438 Inga
439-440 Ingrid
441-442 Ingrun(d)
443-444 Irene
445-446 Irina
447-448 Irmegard
449-450 Irmel(la)
451-452 Irmeltrud
453-454 Irmine
455-456 Irmusch
457-458 Isabella
459-460 Isadora
461-462 Isentrud
463-464 Isolde
465-466 Janna
467-468 Jarla
469-470 Jocelin
471-472 Johanna
473-474 Josie
475-476 Juli(ana)
477-478 Julian(n)e
479-480 Jutte
481-482 Karel(ia)
483-484 Karin(a)
485-486 Karmilla
487-488 Karol(in)(e)
489-490 Kasarea
491-492 Kat(h)arin(a)
493-494 Kat(h)arin(e)
495-496 Kat(h)erin(a)
497-498 Kat(h)erin(e)
499-500 Katheryn
501-502 Katia
503-504 Katrin(a)
505-506 Katusch
507-508 Keterlin(d)11
509-510 Keterlyn
511-512 Kethe
